# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
10Sa	10Sa	EBT00051181478		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9S	9S	EBT00051181684	lincRNA	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
PSLT001	PSLT001	AAL23443	protein_coding	0	0	0	276	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0
PSLT002	PSLT002	AAL23444	protein_coding	0	0	0	276	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0
PSLT007	PSLT007	AAL23449	protein_coding	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276
PSLT020	PSLT020	AAL23450	protein_coding	0	0	0	327	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0
PSLT024	PSLT024	AAL23451	protein_coding	0	41	29	367	0	0	0	1	110	0	0	28	0	0	0	0	0	0	0	41	257
PSLT025	PSLT025	AAL23525	protein_coding	0	0	0	437	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	110
PSLT026	PSLT026	AAL23526	protein_coding	0	0	0	437	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	110
PSLT029	PSLT029	AAL23454	protein_coding	0	0	0	437	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	327
PSLT030	PSLT030	AAL23455	protein_coding	0	0	0	437	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	327
PSLT032	PSLT032	AAL23457	protein_coding	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201
PSLT033	PSLT033	AAL23458	protein_coding	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110
PSLT034	PSLT034	AAL23459	protein_coding	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110
PSLT036	PSLT036	AAL23460	protein_coding	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110
PSLT056	PSLT056	AAL23466	protein_coding	0	0	0	354	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0
PSLT057	PSLT057	AAL23467	protein_coding	0	0	0	384	0	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0
PSLT059	PSLT059	AAL23468	protein_coding	1	87	44	491	0	0	0	0	435	1	0	44	0	0	0	0	0	0	0	87	56
PSLT060	PSLT060	AAL23469	protein_coding	0	3	5	661	0	0	0	0	472	0	0	5	0	0	0	0	0	0	0	3	189
PSLT061	PSLT061	AAL23470	protein_coding	0	0	0	996	0	0	0	0	799	0	0	0	0	0	0	0	0	0	0	0	197
